sections,DCI_as
2_s,100.02
10_s,99.99
998_s,94.16
1010_s,94.19
1000_s,71.66
1001_s,99.26
1035_s,99.98
1039_s,99.99
1002_s,100
1004_s,100
1003_s,100
995_s,99.98
1006_s,99.97
1019_s,100
1014_s,99.97
996_s,100.01
1011_s,100.01
1027_s,100.01
1016_s,99.98
1017_s,99.99
1018_s,100
1021_s,100.01
1020_s,100
1025_s,100.01
1044_s,100.02
1045_s,100
1049_s,100
1046_s,100
104_s,69
1043_s,99.99
1053_s,100
105_s,95.27
137_s,94.9
1054_s,100
1108_s,100
1056_s,100
1058_s,100
1060_s,100
1062_s,100
1070_s,100
1068_s,100
1065_s,100
1075_s,100
1109_s,100
1117_s,100.01
1076_s,100
1077_s,100
1078_s,99.98
1083_s,100
1079_s,100
1081_s,100.01
1090_s,100.01
1104_s,100
1105_s,99.99
1085_s,100.01
109_s,80.91
111_s,93.07
113_s,93.39
1092_s,99.99
1099_s,100
1097_s,100.01
1103_s,100.01
1102_s,99.99
110_s,94.97
1132_s,99.96
1139_s,100.01
1106_s,99.67
1138_s,99.98
1107_s,97.06
1141_s,99.53
1142_s,90.99
1150_s,94.62
1111_s,100.01
1115_s,100
1110_s,100.01
1126_s,100
1118_s,99.99
1120_s,100.01
1301_s,99.99
1128_s,100.01
1303_s,100.01
114_s,95.04
1133_s,99.99
1137_s,99.99
1136_s,100.02
1305_s,100.01
1310_s,100.03
1314_s,100
1140_s,100.01
1170_s,100.01
116_s,95.54
1156_s,100
1157_s,99.95
1145_s,87.69
1148_s,89.63
1144_s,86.61
1153_s,84.57
1154_s,75.98
1151_s,85.64
1241_s,91.67
1352_s,68.45
1158_s,99.94
1160_s,94.61
124_s,97.16
138_s,95.6
1161_s,89.68
1162_s,92.5
1333_s,89.36
1336_s,65.73
1168_s,93.63
1169_s,93.8
1167_s,95.27
1338_s,95.8
1172_s,95.39
1346_s,95.8
1174_s,4.48
1176_s,99.04
1175_s,100.02
1177_s,95.61
1215_s,98.55
1184_s,94.56
1187_s,82.6
1180_s,88.79
1218_s,86.72
1219_s,93.21
1181_s,73.33
1191_s,72.17
1196_s,57.29
1194_s,78.78
1197_s,54.87
1198_s,55.58
1201_s,61.86
1242_s,59.56
1202_s,72.11
1243_s,74.36
1211_s,75.84
1244_s,76.38
1209_s,8.4
1216_s,100
1266_s,99.99
1248_s,81.87
1276_s,85.47
1223_s,100
1221_s,99.99
1225_s,100
1573_s,100
1557_s,100
126_s,100
140_s,100
1245_s,94.41
1247_s,91.73
1246_s,91.73
1256_s,94.21
1259_s,79.97
1257_s,83.07
1249_s,80.56
1273_s,77.69
1252_s,81.37
1253_s,25.87
1258_s,72.85
1263_s,69.98
1260_s,70.82
1400_s,77.85
1397_s,54.07
1265_s,34.51
1269_s,36.84
1270_s,37.69
1267_s,99.99
1268_s,99.99
1271_s,99.99
1281_s,100.01
1278_s,90.47
1283_s,79.88
1284_s,25.18
130_s,99.99
149_s,100
1358_s,100.01
1307_s,100
1318_s,100
1321_s,100.02
1312_s,99.99
1317_s,99.98
1325_s,99.99
133_s,99.99
132_s,100
1322_s,99.99
1363_s,100
1328_s,99.99
1331_s,100
99_s,100
1367_s,99.99
1368_s,100.01
1341_s,55.06
1339_s,99.86
1340_s,99.84
1343_s,59.92
1372_s,68.26
1345_s,65.46
1347_s,59.28
1350_s,37.06
1348_s,38.4
1356_s,40.02
1351_s,100
1354_s,99.99
1357_s,100
1383_s,99.99
1421_s,100
1369_s,100.01
1377_s,100
1380_s,100
1384_s,100.01
1385_s,100
1386_s,100.01
1387_s,100
1390_s,100
1392_s,99.98
1388_s,99.99
1393_s,100
1389_s,100
1391_s,99.99
1411_s,83.15
1418_s,89.7
141_s,100
142_s,99.99
1403_s,85.3
1405_s,87.41
1404_s,85.6
1406_s,92.79
1407_s,92.9
1408_s,16.23
1420_s,96.02
1423_s,96.93
1425_s,97.57
1422_s,100
1470_s,99.99
1424_s,100.02
1473_s,99.35
1426_s,98.4
1432_s,98.73
1437_s,96.83
143_s,13.56
1434_s,100.01
1439_s,94.21
1440_s,91.19
1445_s,93.42
1458_s,89.85
1487_s,79.7
1485_s,94.37
145_s,90.95
148_s,94.1
147_s,98.09
164_s,96.25
1471_s,99.99
1472_s,99.98
1474_s,99.99
1477_s,100.01
1478_s,99.99
1481_s,99.99
1480_s,100
1479_s,100
158_s,95.86
1482_s,99.99
1489_s,35.88
150_s,100.01
195_s,100
1492_s,100.01
155_s,100.01
1503_s,100
156_s,100
157_s,100
1590_s,100.01
1592_s,100
1596_s,100.01
163_s,99.05
70_s,99.65
467_s,99.52
166_s,99.01
176_s,98.55
171_s,99.97
20_s,100
17_s,99.99
474_s,100
482_s,85.82
177_s,0.18
181_s,70.43
180_s,49.49
183_s,94.16
191_s,94.91
185_s,100
186_s,100.01
187_s,100
188_s,100
193_s,100
488_s,100.01
506_s,100
199_s,95.96
212_s,74
217_s,96.54
7_s,100
21_s,100
200_s,99.72
204_s,99.98
203_s,100.01
209_s,100.01
205_s,100.01
206_s,100.01
207_s,100
229_s,99.99
232_s,99.99
22_s,100
216_s,99.76
218_s,99.99
219_s,100.01
221_s,100
224_s,100
24_s,99.98
238_s,99.99
227_s,100
228_s,100
544_s,100
230_s,99.98
231_s,99.99
233_s,100
234_s,100
235_s,100
236_s,100.01
240_s,100.01
37_s,100.01
243_s,100
246_s,100
543_s,100
253_s,100
248_s,100
259_s,99.99
26_s,100
260_s,99.99
261_s,100
263_s,100
264_s,100
265_s,100.01
267_s,100
278_s,100
281_s,100
279_s,100
290_s,100
29_s,100
293_s,100
318_s,99.99
300_s,99.99
299_s,99.99
335_s,100
340_s,99.99
326_s,100
305_s,100
313_s,100.01
306_s,99.98
310_s,100.01
312_s,100
315_s,100.01
316_s,100
317_s,100
330_s,100.01
341_s,99.99
355_s,100.01
366_s,100.01
332_s,99.99
338_s,100
411_s,100
345_s,100
348_s,99.99
360_s,100
352_s,100
350_s,100
35_s,100.02
61_s,100
423_s,100.01
364_s,100
426_s,100.01
428_s,99.99
430_s,99.99
369_s,99.99
371_s,100.02
386_s,100
378_s,100
401_s,100
404_s,75.88
381_s,100
383_s,100
735_s,100.01
388_s,99.99
392_s,100
737_s,93.5
406_s,0.33
409_s,67.66
748_s,78.14
749_s,71.85
41_s,100
42_s,100.01
414_s,100
416_s,100.01
418_s,100.01
422_s,100
44_s,100
438_s,100
788_s,100.01
448_s,95.5
433_s,99.98
581_s,100.01
43_s,100
437_s,99.99
583_s,99.98
439_s,95.97
791_s,99.99
47_s,99.99
447_s,11.5
794_s,66.23
450_s,90.42
449_s,87.26
454_s,77.59
459_s,91.86
803_s,99.16
462_s,100
466_s,100
809_s,99.99
51_s,58.74
486_s,100
48_s,56.52
52_s,60.8
82_s,47.85
484_s,74.23
495_s,65.73
497_s,74.57
516_s,99.06
518_s,85.9
499_s,1.34
502_s,45
50_s,54.54
587_s,63.65
508_s,53.09
533_s,71.59
511_s,85.13
515_s,98.39
517_s,70.7
519_s,68.78
553_s,64.99
521_s,71.61
88_s,68.61
525_s,69.28
528_s,83.9
561_s,18.4
531_s,94.98
535_s,96.25
588_s,87.36
603_s,88.68
538_s,97.87
567_s,96.67
539_s,99.7
593_s,99.59
598_s,100
648_s,99.98
54_s,99.98
57_s,100
546_s,100
551_s,100
559_s,100
575_s,100.01
577_s,100.01
555_s,36.66
556_s,46.96
558_s,47.46
56_s,100.01
563_s,72.33
565_s,86.79
569_s,87.24
579_s,92.47
653_s,94.63
677_s,100
585_s,100
589_s,99.99
622_s,99.99
591_s,100.02
594_s,100
600_s,100.02
596_s,99.99
605_s,99.99
615_s,100
599_s,99.99
649_s,100
601_s,100
602_s,100
6_s,99.99
658_s,99.97
616_s,100.01
607_s,99.99
628_s,100.01
629_s,100.01
63_s,99.99
632_s,100.02
637_s,100
610_s,100
619_s,100
624_s,100
626_s,100
627_s,100
625_s,100.01
64_s,100
633_s,100.01
635_s,100
639_s,99.98
638_s,100
640_s,100
65_s,100.01
643_s,100.01
646_s,99.99
651_s,100
656_s,100.01
69_s,99.99
662_s,99.99
654_s,100
655_s,99.99
663_s,99.98
665_s,99.99
679_s,99.28
66_s,100
667_s,100
669_s,99.99
678_s,100.02
673_s,99.99
67_s,100
709_s,100
674_s,100
681_s,98.65
684_s,94.38
691_s,99.52
683_s,90.57
686_s,89.05
692_s,83.27
694_s,67.85
705_s,66.05
696_s,46.41
702_s,54.41
701_s,48.99
707_s,71.91
703_s,61.82
721_s,89.67
710_s,100
714_s,100.01
717_s,100
726_s,100.01
732_s,100
73_s,71.79
734_s,100
739_s,74.04
743_s,92.14
744_s,55.93
770_s,97.23
764_s,88.28
766_s,82.29
750_s,84.92
756_s,89.73
77_s,38.32
75_s,40.83
751_s,100
758_s,100.02
757_s,99.99
759_s,100.01
761_s,100.01
760_s,100
774_s,100
906_s,99.99
81_s,3.54
913_s,88.67
916_s,98.53
771_s,100
776_s,100.02
782_s,100.01
777_s,100.01
929_s,99.43
935_s,99.99
79_s,67.76
795_s,100
830_s,100
796_s,97.68
802_s,97.18
797_s,99.55
838_s,89.8
804_s,100
812_s,100.02
817_s,100.01
822_s,100
810_s,100.02
811_s,100
825_s,99.98
824_s,100
826_s,99.99
886_s,100
884_s,99.39
883_s,100
832_s,100
835_s,100
851_s,70.96
840_s,58.62
848_s,88.06
842_s,7.82
843_s,7.92
845_s,7.07
847_s,71.7
852_s,79.19
861_s,79.24
849_s,98.58
850_s,98.76
858_s,73.97
853_s,84.89
871_s,87.91
972_s,86.17
943_s,86.47
86_s,71.68
90_s,82.78
862_s,85.37
863_s,83.3
864_s,91.06
873_s,90.96
865_s,94
867_s,94.02
880_s,97.01
869_s,94.13
872_s,97.05
874_s,96.72
91_s,68.45
951_s,99.88
949_s,99.79
889_s,84.82
894_s,99.38
891_s,56.04
893_s,67.01
902_s,100
897_s,99.99
898_s,99.99
98_s,90.71
901_s,100
904_s,99.99
909_s,100
911_s,100
93_s,99.25
915_s,25.3
918_s,93.36
920_s,88.73
921_s,86.8
923_s,85.53
925_s,17.63
926_s,1.17
927_s,97.95
930_s,97.84
931_s,99.24
95_s,100.01
938_s,100
941_s,100
940_s,99.99
942_s,100.01
944_s,93.73
974_s,91.56
947_s,94.36
948_s,94.04
950_s,99.98
971_s,100.01
954_s,100
952_s,99.99
953_s,99.99
968_s,99.99
969_s,100
961_s,99.97
962_s,99.99
963_s,100
965_s,99.98
964_s,100.01
967_s,100
975_s,99.99
966_s,100.02
982_s,100.01
983_s,100
992_s,100
970_s,100.01
988_s,100.02
978_s,100
989_s,100.01
993_s,99.99
994_s,99.99
