sections,DCI_as
10_s,45.06
2_s,46.48
1000_s,1.83
998_s,1.88
1010_s,1.9
1001_s,1.9
1002_s,71.43
1035_s,71.85
1039_s,71.86
1003_s,6.28
1004_s,6.33
995_s,6.4
1006_s,6.37
1019_s,6.4
1014_s,6.46
996_s,6.48
1011_s,1.92
1027_s,1.93
1016_s,6.49
1017_s,6.5
1018_s,6.52
1021_s,6.52
1020_s,1.95
1025_s,1.94
1044_s,1.95
1045_s,72.46
1049_s,72.49
1046_s,72.38
104_s,5.36
1043_s,2.97
1053_s,72.23
105_s,5.79
137_s,6.21
1054_s,72.24
1056_s,60.44
1108_s,65.17
1058_s,65.24
1060_s,64.72
1062_s,64.75
1070_s,65.34
1065_s,28.79
1068_s,29.75
1075_s,30.53
1109_s,66.3200000000001
1117_s,66.26
1076_s,27.95
1077_s,28.75
1078_s,29.65
1083_s,30.02
1079_s,29.71
1081_s,29.84
1090_s,30.14
1085_s,28.65
1104_s,29.41
1105_s,29.02
109_s,5.37
111_s,5.71
113_s,5.7
1092_s,30.23
1099_s,30.53
1097_s,30.43
1103_s,31.41
1102_s,31.36
110_s,5.77
1132_s,32.27
1139_s,31.82
1106_s,31.63
1138_s,31.82
1107_s,31.84
1141_s,31.98
1142_s,32.14
1150_s,32.36
1111_s,67.46
1115_s,67.88
1110_s,67.67
1126_s,68.52
1118_s,68.02
1120_s,70.93
1301_s,71.3200000000001
1128_s,69.31
1303_s,70.25
114_s,5.74
1133_s,33.3
1137_s,33.55
1136_s,34.24
1305_s,34.37
1310_s,34.43
1314_s,34.26
1140_s,32.09
1170_s,32.55
116_s,5.77
1156_s,32.49
1157_s,32.31
1145_s,32.51
1148_s,32.56
1144_s,32.55
1153_s,32.95
1154_s,32.82
1151_s,32.78
1241_s,32.76
1352_s,3.7
1158_s,32.73
1160_s,32.82
124_s,5.94
138_s,6.02
1161_s,33.28
1162_s,33.26
1333_s,33.55
1336_s,33.65
1168_s,33.29
1169_s,33.35
1167_s,33.48
1338_s,33.66
1172_s,33.76
1346_s,33.93
1174_s,0.03
1175_s,27.84
1176_s,28.79
1177_s,29.2
1215_s,30.17
1184_s,29.42
1187_s,29.58
1180_s,0.81
1181_s,1.51
1218_s,1.59
1219_s,1.58
1191_s,30.1
1196_s,30.22
1194_s,30.4
1197_s,0.74
1198_s,0.74
1201_s,0.74
1242_s,0.75
1202_s,0.76
1243_s,0.77
1211_s,0.78
1244_s,0.78
1209_s,0.04
1216_s,31.56
1266_s,32.11
1248_s,1.64
1276_s,1.64
1221_s,17.33
1223_s,19.19
