NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Barrier,209,300161,284.84,Metres,1,F,203,300042,284.84,Metres
Barrier,206,300015,162.77,Metres,1,F,205,300030,162.77,Metres
Barrier,224,300178,121.02,Metres,1,F,219,300118,121.02,Metres
Barrier,238,300031,1534.59,Metres,1,F,221,300029,1534.59,Metres
Branch Junction,88,696,49.74,Metres,1,F,52,300013,49.74,Metres
Barrier,75,100003,1292.66,Metres,1,F,82,100002,1292.66,Metres
Barrier,310,300067,14.2,Metres,1,F,312,386,14.2,Metres
Barrier,315,300034,695.24,Metres,1,F,312,386,695.24,Metres
Barrier,495,100007,189.45,Metres,0,F,484,485,189.45,Metres
Source Junction,497,472,675.05,Metres,1,F,484,485,675.05,Metres
Barrier,186,300005,65.25,Metres,1,F,185,300006,65.25,Metres
Branch Junction,488,823,899.58,Metres,1,F,193,790,899.58,Metres
Source Junction,506,628,1881.09,Metres,1,F,193,790,1881.09,Metres
Barrier,232,300014,80.52,Metres,1,F,209,300161,80.52,Metres
Barrier,207,300078,72.36,Metres,1,F,206,300015,72.36,Metres
Barrier,227,300182,173.18,Metres,1,F,224,300178,173.18,Metres
Branch Junction,240,1126,47.02,Metres,1,F,238,300031,47.02,Metres
Barrier,86,300065,290.53,Metres,1,F,88,696,290.53,Metres
Barrier,91,300203,714.22,Metres,1,F,88,696,714.22,Metres
Barrier,77,400001,9.19,Metres,0,F,75,100003,9.19,Metres
Branch Junction,306,359,596.67,Metres,1,F,310,300067,596.67,Metres
Source Junction,316,385,5.25,Metres,1,F,315,300034,5.25,Metres
Barrier,499,400003,21.53,Metres,0,F,495,100007,21.53,Metres
Barrier,187,300100,82.64,Metres,1,F,186,300005,82.64,Metres
Branch Junction,516,764,959.08,Metres,1,F,488,823,959.08,Metres
Branch Junction,518,860,1216,Metres,1,F,488,823,1216,Metres
Barrier,233,300001,88.02,Metres,1,F,232,300014,88.02,Metres
Barrier,229,300004,20.73,Metres,1,F,207,300078,20.73,Metres
Barrier,228,300163,187.28,Metres,1,F,227,300182,187.28,Metres
Barrier,243,300049,243.67,Metres,1,F,240,1126,243.67,Metres
Source Junction,246,1195,611.62,Metres,1,F,240,1126,611.62,Metres
Barrier,90,300007,253.87,Metres,1,F,86,300065,253.87,Metres
Barrier,93,300149,83.32,Metres,1,F,91,300203,83.32,Metres
Barrier,81,200001,59.74,Metres,0,F,77,400001,59.74,Metres
Branch Junction,279,296,915.93,Metres,1,F,306,359,915.93,Metres
Barrier,305,300047,358.87,Metres,1,F,306,359,358.87,Metres
Barrier,502,300095,126.56,Metres,1,F,499,400003,126.56,Metres
Source Junction,188,723,83.49,Metres,1,F,187,300100,83.49,Metres
Barrier,511,300196,386.63,Metres,1,F,516,764,386.63,Metres
Source Junction,515,751,43.2,Metres,1,F,516,764,43.2,Metres
Branch Junction,519,828,190.45,Metres,1,F,518,860,190.45,Metres
Barrier,553,300102,92.76,Metres,0,F,518,860,92.76,Metres
Barrier,234,300002,185.49,Metres,1,F,233,300001,185.49,Metres
Barrier,230,300003,102.26,Metres,1,F,229,300004,102.26,Metres
Source Junction,544,1025,1157.58,Metres,1,F,228,300163,1157.58,Metres
Branch Junction,543,1102,873.75,Metres,1,F,243,300049,873.75,Metres
Source Junction,98,698,497.24,Metres,1,F,90,300007,497.24,Metres
Source Junction,95,730,39.88,Metres,1,F,93,300149,39.88,Metres
Branch Junction,79,536,102.92,Metres,1,F,81,200001,102.92,Metres
Source Junction,278,294,20.83,Metres,1,F,279,296,20.83,Metres
Barrier,281,300057,29.98,Metres,1,F,279,296,29.98,Metres
Source Junction,313,321,390.62,Metres,1,F,305,300047,390.62,Metres
Source Junction,587,513,1447.45,Metres,1,F,502,300095,1447.45,Metres
Barrier,508,100010,458.38,Metres,0,F,511,300196,458.38,Metres
Source Junction,517,813,62.49,Metres,1,F,519,828,62.49,Metres
Branch Junction,521,822,202.37,Metres,1,F,519,828,202.37,Metres
Branch Junction,555,897,181.59,Metres,1,F,553,300102,181.59,Metres
Barrier,235,300105,105.59,Metres,1,F,234,300002,105.59,Metres
Source Junction,231,1154,14.41,Metres,1,F,230,300003,14.41,Metres
Branch Junction,546,1080,428.82,Metres,1,F,543,1102,428.82,Metres
Barrier,551,300139,827.51,Metres,1,F,543,1102,827.51,Metres
Barrier,73,300088,17.91,Metres,1,F,79,536,17.91,Metres
Branch Junction,109,521,493.3,Metres,1,F,79,536,493.3,Metres
Branch Junction,290,226,410.96,Metres,1,F,281,300057,410.96,Metres
Branch Junction,533,638,316.94,Metres,1,F,508,100010,316.94,Metres
Barrier,525,100009,115.72,Metres,0,F,521,822,115.72,Metres
Barrier,528,300096,439.84,Metres,1,F,521,822,439.84,Metres
Source Junction,556,945,258.48,Metres,1,F,555,897,258.48,Metres
Source Junction,558,923,321.84,Metres,1,F,555,897,321.84,Metres
Source Junction,236,1205,283.78,Metres,1,F,235,300105,283.78,Metres
Source Junction,559,1034,603.75,Metres,1,F,546,1080,603.75,Metres
Source Junction,575,1106,283.01,Metres,1,F,546,1080,283.01,Metres
Source Junction,577,1183,462.77,Metres,1,F,551,300139,462.77,Metres
Source Junction,104,483,432.92,Metres,1,F,73,300088,432.92,Metres
Barrier,111,300131,120.84,Metres,1,F,109,521,120.84,Metres
Barrier,113,300132,94.12,Metres,1,F,109,521,94.12,Metres
Barrier,293,100006,239.63,Metres,1,F,290,226,239.63,Metres
Barrier,318,300145,1229.43,Metres,1,F,290,226,1229.43,Metres
Source Junction,588,625,514.3,Metres,1,F,533,638,514.3,Metres
Source Junction,603,633,1303.83,Metres,1,F,533,638,1303.83,Metres
Barrier,561,100011,559.31,Metres,0,F,525,100009,559.31,Metres
Barrier,531,300089,72.46,Metres,1,F,528,300096,72.46,Metres
Barrier,110,300040,10.38,Metres,1,F,111,300131,10.38,Metres
Barrier,114,300041,6.62,Metres,1,F,113,300132,6.62,Metres
Branch Junction,300,242,35.79,Metres,1,F,293,100006,35.79,Metres
Barrier,330,300086,676.18,Metres,1,F,318,300145,676.18,Metres
Branch Junction,563,960,319.94,Metres,1,F,561,100011,319.94,Metres
Branch Junction,535,817,51.15,Metres,1,F,531,300089,51.15,Metres
Barrier,105,300184,40.59,Metres,1,F,110,300040,40.59,Metres
Branch Junction,116,537,66.75,Metres,1,F,114,300041,66.75,Metres
Branch Junction,299,205,377.35,Metres,1,F,300,242,377.35,Metres
Branch Junction,326,293,435.22,Metres,1,F,300,242,435.22,Metres
Barrier,366,300024,1817.55,Metres,1,F,330,300086,1817.55,Metres
Barrier,565,300130,113.35,Metres,1,F,563,960,113.35,Metres
Barrier,569,300129,162.56,Metres,1,F,563,960,162.56,Metres
Branch Junction,538,809,269.72,Metres,1,F,535,817,269.72,Metres
Source Junction,567,915,572.76,Metres,1,F,535,817,572.76,Metres
Source Junction,137,450,1382.58,Metres,1,F,105,300184,1382.58,Metres
Branch Junction,124,555,481.81,Metres,1,F,116,537,481.81,Metres
Source Junction,138,504,748.95,Metres,1,F,116,537,748.95,Metres
Branch Junction,335,160,908.63,Metres,1,F,299,205,908.63,Metres
Source Junction,340,177,1067.59,Metres,1,F,299,205,1067.59,Metres
Branch Junction,341,299,1008.87,Metres,1,F,326,293,1008.87,Metres
Barrier,355,100008,423.84,Metres,1,F,326,293,423.84,Metres
Barrier,369,300023,600.57,Metres,1,F,366,300024,600.57,Metres
Barrier,579,300191,886.97,Metres,1,F,565,300130,886.97,Metres
Branch Junction,653,1017,885.45,Metres,1,F,569,300129,885.45,Metres
Branch Junction,539,808,111.27,Metres,1,F,538,809,111.27,Metres
Branch Junction,593,740,1250.72,Metres,1,F,538,809,1250.72,Metres
