sections,DCI_as
1_s,100.01
101_s,100.01
100_s,100
103_s,100.01
107_s,100
110_s,100
111_s,99.99
104_s,100
105_s,100.01
108_s,100
109_s,100
114_s,100
113_s,100
128_s,100
115_s,100.01
161_s,99.99
116_s,99.98
118_s,100.01
164_s,99.99
14_s,99.99
15_s,100
12_s,99.99
120_s,100
125_s,100
131_s,100
172_s,100
130_s,100
162_s,99.99
133_s,100.01
138_s,100
65_s,100.01
135_s,99.99
62_s,100
141_s,100
142_s,100
136_s,100.01
66_s,96.26
139_s,100
23_s,100
149_s,99.82
151_s,100
145_s,79.53
146_s,60.89
147_s,55.63
148_s,58.07
155_s,52.56
233_s,66.64
17_s,100
18_s,100
152_s,100
153_s,100.01
154_s,100
160_s,99.99
157_s,70.85
158_s,85.69
236_s,87.65
159_s,88.78
254_s,90.99
237_s,100
163_s,100
168_s,99.95
173_s,100
166_s,99.99
167_s,99.99
258_s,100
259_s,100
170_s,99.05
263_s,99.92
171_s,2.66
392_s,100.01
174_s,78.84
175_s,46.74
195_s,71.16
176_s,100.02
178_s,100
177_s,94.12
242_s,100.01
196_s,100
19_s,100.02
183_s,100.01
184_s,92.06
194_s,98.28
203_s,68.73
4_s,99.99
193_s,99.99
198_s,94.56
197_s,100.01
201_s,99.98
280_s,100.01
200_s,99.45
207_s,78.44
2_s,100
20_s,99.99
21_s,100.01
205_s,100.01
202_s,79.74
318_s,100
319_s,100
204_s,56.23
206_s,100
216_s,99.99
209_s,66.55
210_s,60.09
211_s,70.34
22_s,100
213_s,7.19
221_s,86.6
229_s,74.52
214_s,6.57
215_s,57.1
231_s,72.68
339_s,72.68
217_s,100
218_s,100
36_s,100.01
220_s,100
224_s,100
226_s,100
223_s,100.01
337_s,99.99
225_s,100.01
227_s,100.01
330_s,96.16
228_s,99.99
333_s,100
338_s,100.02
230_s,12.8
24_s,100
232_s,50.1
234_s,95.13
244_s,100.01
235_s,99.99
248_s,100.01
239_s,95.99
241_s,100.01
262_s,99.99
240_s,100.02
25_s,100
243_s,100
245_s,100
246_s,99.99
247_s,100
281_s,100
251_s,100
249_s,99.99
250_s,100.01
26_s,100
252_s,100
255_s,100
253_s,100.01
282_s,99.99
261_s,100.01
266_s,100
268_s,100.01
27_s,99.99
270_s,100
264_s,100.01
265_s,99.99
394_s,100
267_s,100.01
273_s,98.79
301_s,100
28_s,100.01
271_s,99.98
272_s,99.98
292_s,99.99
294_s,99.96
274_s,95.13
275_s,96.46
276_s,94.63
278_s,89.93
277_s,0.07
279_s,16.24
37_s,99.99
285_s,100
288_s,100.01
283_s,100
289_s,100
284_s,100
291_s,100
286_s,100
287_s,100
375_s,100
373_s,100.01
374_s,100
290_s,100
376_s,100
34_s,100.01
31_s,100
29_s,99.99
381_s,100
297_s,100.01
298_s,100
295_s,99.99
300_s,100.01
296_s,100.01
313_s,100.02
310_s,100
314_s,99.99
3_s,100.01
304_s,87.46
305_s,77.53
302_s,81.23
306_s,93.23
412_s,7.26
316_s,97.24
317_s,97.11
33_s,100
35_s,100
311_s,100.01
312_s,100
315_s,99.99
320_s,26.89
321_s,88.51
322_s,82.32
324_s,100
323_s,100
325_s,100.01
326_s,78.59
327_s,87.24
329_s,93.3
331_s,93.86
342_s,95.96
334_s,95.16
335_s,100
343_s,96.87
336_s,100
344_s,100
340_s,100
341_s,100.01
345_s,100
379_s,100.02
355_s,99.99
348_s,100
365_s,100
346_s,100
347_s,100.01
369_s,100
349_s,99.99
350_s,100.01
71_s,99.98
351_s,100
352_s,99.99
357_s,100
354_s,99.99
367_s,100
359_s,100.01
360_s,100
364_s,100
362_s,100.01
363_s,100
371_s,100
366_s,100
368_s,100
370_s,100
38_s,100.01
372_s,99.99
377_s,100
378_s,100
383_s,100.01
40_s,100.01
52_s,100
380_s,100.01
382_s,99.99
384_s,100
385_s,100.01
386_s,99.99
387_s,100.01
388_s,99.99
389_s,100
390_s,100
393_s,100
397_s,100
400_s,86.94
395_s,100
398_s,100
399_s,100
411_s,100.01
6_s,99.99
41_s,99.99
42_s,100
402_s,73.81
403_s,70.23
406_s,62.52
407_s,0.18
408_s,47.9
413_s,51.66
415_s,63.91
45_s,99.99
414_s,38.9
416_s,97.22
417_s,99.88
43_s,99.97
44_s,99.99
48_s,99.99
46_s,100
47_s,99.99
49_s,100.02
58_s,100
50_s,100.01
55_s,100
51_s,100
56_s,99.99
99_s,100.02
70_s,100
59_s,100.01
60_s,100
61_s,100
7_s,99.99
64_s,100.01
63_s,100
67_s,79.94
68_s,99.99
73_s,100
78_s,100.01
8_s,100.01
72_s,100.01
74_s,100.01
86_s,100.01
88_s,99.97
85_s,100.01
79_s,99.99
82_s,99.99
80_s,99.99
9_s,100
84_s,99.99
81_s,100
87_s,100
89_s,99.97
93_s,100
90_s,99.99
92_s,100
96_s,100
94_s,100
98_s,99.99
97_s,100.01
