sections,DCI_as
1_s,63.89
100_s,80.31
101_s,80.77
103_s,81.61
107_s,81.8
110_s,82.6
111_s,82.3600000000001
104_s,84.4500000000001
105_s,83.7
108_s,84.0200000000001
109_s,84.67
113_s,63.89
114_s,63.89
128_s,63.89
115_s,63.89
161_s,63.89
116_s,63.89
118_s,63.89
164_s,63.89
15_s,64.67
14_s,64.7599999999999
12_s,64.76
120_s,63.89
125_s,63.89
131_s,63.89
172_s,63.91
130_s,63.89
162_s,63.89
133_s,63.89
138_s,63.89
65_s,63.89
135_s,63.89
62_s,63.89
136_s,63.89
141_s,63.89
142_s,63.89
66_s,63.89
139_s,63.89
23_s,66.61
149_s,63.89
151_s,63.89
145_s,63.89
146_s,63.89
147_s,63.89
148_s,63.89
155_s,2.72
233_s,63.89
18_s,64.13
17_s,64.62
152_s,63.89
153_s,63.89
154_s,63.89
160_s,63.89
157_s,2.72
158_s,2.72
236_s,2.72
159_s,2.72
254_s,2.72
237_s,63.89
163_s,63.89
168_s,64.05
173_s,63.89
166_s,63.89
167_s,63.89
258_s,63.89
259_s,64.05
170_s,64.21
263_s,64.22
171_s,0.01
392_s,65.2799999999999
174_s,63.89
175_s,24.43
195_s,24.43
176_s,3.89
178_s,3.89
177_s,3.89
242_s,3.89
196_s,3.89
19_s,63.89
183_s,24.43
184_s,24.43
194_s,24.43
203_s,24.46
4_s,63.89
193_s,24.43
198_s,24.43
197_s,3.89
201_s,3.89
280_s,3.89
200_s,24.43
207_s,24.43
2_s,63.89
20_s,63.89
21_s,63.94
205_s,3.89
202_s,1.71
318_s,1.73
319_s,1.73
204_s,1.68
206_s,3.91
216_s,3.91
209_s,24.43
210_s,24.43
211_s,24.45
22_s,63.94
213_s,0.1
221_s,24.6
229_s,24.51
214_s,0.1
215_s,1.53
231_s,1.55
339_s,1.55
217_s,3.91
218_s,3.91
36_s,64.05
220_s,24.72
224_s,24.83
226_s,24.78
223_s,24.73
337_s,24.9
225_s,24.95
227_s,24.97
330_s,25.18
228_s,25.02
333_s,25.19
338_s,25.39
230_s,0.09
24_s,67.87
232_s,3.89
234_s,63.89
244_s,63.89
235_s,2.72
248_s,2.72
239_s,2.72
241_s,63.89
262_s,63.89
240_s,2.72
25_s,68.32
243_s,3.89
245_s,63.89
246_s,63.89
247_s,63.89
281_s,63.89
251_s,63.89
249_s,2.72
250_s,2.72
26_s,68.33
252_s,2.72
255_s,63.89
253_s,2.72
282_s,63.9
261_s,63.89
266_s,64.15
268_s,64.28
27_s,68.59
270_s,63.89
264_s,64.64
265_s,64.75
394_s,66
267_s,64.53
273_s,64.75
301_s,65.34
28_s,69.16
271_s,63.92
272_s,63.97
292_s,64.03
294_s,64.02
274_s,64.99
275_s,65.08
276_s,65.08
278_s,65.24
277_s,0
279_s,0.08
37_s,69.67
285_s,64.04
288_s,64.02
283_s,64.05
289_s,64.07
284_s,64.04
291_s,64.08
286_s,64.12
287_s,64.24
375_s,64.33
373_s,64.3
374_s,64.34
290_s,64.27
376_s,64.5
34_s,63.89
29_s,63.89
31_s,63.89
381_s,64.18
297_s,64.15
298_s,64.07
295_s,64.12
300_s,64.1
296_s,64.26
313_s,64.31
310_s,64.16
314_s,64.21
3_s,63.89
302_s,72.9
304_s,74.26
305_s,74.5
306_s,74.72
412_s,0.07
316_s,76.7
317_s,76.82
35_s,63.89
33_s,63.89
311_s,64.18
312_s,64.16
315_s,64.21
320_s,0.35
321_s,26.35
322_s,25.97
323_s,26.64
324_s,26.91
325_s,26.72
326_s,25.74
327_s,25.52
329_s,25.37
331_s,25.4
342_s,25.88
334_s,25.42
335_s,25.51
343_s,25.96
336_s,25.67
344_s,26.46
340_s,26.02
341_s,25.96
345_s,26.53
379_s,26.67
355_s,26.9
348_s,27.38
365_s,27.51
346_s,26.72
347_s,26.95
369_s,27.61
349_s,27.53
350_s,27.55
71_s,63.89
351_s,28.56
352_s,27.78
357_s,28.62
354_s,27.53
367_s,27.86
359_s,28.99
360_s,29.34
364_s,31.18
362_s,34.27
363_s,33.35
371_s,34.16
366_s,27.92
368_s,28.54
370_s,27.92
38_s,70.99
372_s,29.48
377_s,64.56
378_s,64.61
383_s,26.96
52_s,73.2000000000001
40_s,71.41
380_s,64.48
382_s,64.43
384_s,27.13
385_s,27.47
386_s,27.55
387_s,27.68
388_s,27.92
389_s,28.01
390_s,66.42
393_s,66.63
397_s,68.6
395_s,70.28
400_s,71.78
398_s,70.54
399_s,71.3000000000001
411_s,71.51
6_s,63.89
41_s,71.48
42_s,71.5
402_s,72.3300000000001
403_s,73.3100000000001
406_s,73.3100000000001
407_s,0
408_s,1.17
413_s,1.19
415_s,1.2
45_s,71.78
414_s,0.4
416_s,1.24
417_s,1.25
43_s,71.6
44_s,71.82
48_s,72.13
46_s,71.87
47_s,72.19
49_s,72.56
58_s,73.2600000000001
50_s,73.4200000000001
51_s,74.9600000000001
55_s,76.7500000000001
56_s,78.86
99_s,79.45
70_s,79.87
59_s,74.6100000000001
60_s,75.2000000000001
61_s,76.3300000000001
7_s,63.89
64_s,63.89
63_s,63.89
67_s,63.89
68_s,63.89
78_s,63.89
73_s,63.89
8_s,63.89
72_s,63.89
74_s,63.89
86_s,63.89
88_s,63.89
85_s,63.89
79_s,63.89
82_s,63.89
80_s,63.89
9_s,63.89
84_s,63.89
81_s,63.89
87_s,63.89
89_s,63.89
93_s,63.89
90_s,63.89
92_s,63.89
96_s,63.89
94_s,63.89
98_s,63.89
97_s,63.89
