sections,DCI_as
2_s,100
10_s,100
998_s,100
1010_s,100
1000_s,72.84
1001_s,100
1035_s,100
1039_s,100.01
1002_s,99.99
1004_s,100.01
1003_s,100
995_s,100
1006_s,99.99
1019_s,100.01
1014_s,100
996_s,100
1011_s,100
1027_s,100
1016_s,100
1017_s,99.99
1018_s,100
1021_s,100
1020_s,100.01
1025_s,100
1044_s,100
1045_s,100
1049_s,100.01
1046_s,100
104_s,52.37
1043_s,100
1053_s,100.01
105_s,99.98
137_s,100
1054_s,100
1108_s,100
1056_s,100
1058_s,100
1060_s,100
1062_s,100
1070_s,100
1068_s,100
1065_s,100
1075_s,100
1109_s,99.99
1117_s,100
1076_s,99.99
1077_s,99.99
1078_s,100
1083_s,100
1079_s,100
1081_s,100
1090_s,100.01
1104_s,100
1105_s,100.01
1085_s,100.01
109_s,76.57
111_s,99.99
113_s,99.99
1092_s,100
1099_s,100.01
1097_s,100
1103_s,100.01
1102_s,100
110_s,100
1132_s,99.98
1139_s,100
1106_s,100
1138_s,100
1107_s,99.99
1141_s,99.99
1142_s,80.27
1150_s,100
1111_s,100
1115_s,100
1110_s,100
1126_s,100.02
1118_s,100
1120_s,99.99
1301_s,100
1128_s,99.99
1303_s,99.99
114_s,100
1133_s,99.99
1137_s,100
1136_s,100.02
1305_s,100
1310_s,100.01
1314_s,99.99
1140_s,100
1170_s,100
116_s,100.01
1156_s,100
1157_s,100
1145_s,78.86
1148_s,78.63
1144_s,74.74
1153_s,67.84
1154_s,67.97
1151_s,71.26
1241_s,99.98
1352_s,59.84
1158_s,100
1160_s,100.01
124_s,100
138_s,100
1161_s,100.01
1162_s,100.01
1333_s,100
1336_s,64.24
1168_s,100
1169_s,99.1
1167_s,99.98
1338_s,99.99
1172_s,97.24
1346_s,98.54
1174_s,5.98
1176_s,99.98
1175_s,100
1177_s,99.99
1215_s,100
1184_s,100.01
1187_s,86.53
1180_s,100.01
1218_s,89.18
1219_s,100
1181_s,73.09
1191_s,79.39
1196_s,53.69
1194_s,98.88
1197_s,62.33
1198_s,62.84
1201_s,70.55
1242_s,70.39
1202_s,81.79
1243_s,85.87
1211_s,82.78
1244_s,86.32
1209_s,9.56
1216_s,100
1266_s,100
1248_s,82.06
1276_s,86.52
1223_s,100.01
1221_s,100
1225_s,100
1573_s,100
1557_s,99.99
126_s,100
140_s,100
1245_s,99.99
1247_s,99.99
1246_s,99.99
1256_s,100.01
1259_s,83.82
1257_s,87.28
1249_s,80.87
1273_s,79.08
1252_s,83.47
1253_s,33.72
1258_s,67.03
1263_s,66.72
1260_s,73.52
1400_s,80.13
1397_s,48.32
1265_s,44.11
1269_s,48.3
1270_s,50.47
1267_s,100
1268_s,100
1271_s,99.99
1281_s,100
1278_s,99.99
1283_s,77.26
1284_s,28.3
130_s,100
149_s,100
1358_s,100
1307_s,100
1318_s,100
1321_s,100
1312_s,100.01
1317_s,100
1325_s,100
133_s,100
132_s,100.01
1322_s,100.01
1363_s,100
1328_s,100
1331_s,100
99_s,100
1367_s,99.99
1368_s,100
1341_s,75.45
1339_s,99.99
1340_s,100.02
1343_s,67.9
1372_s,81.68
1345_s,69.41
1347_s,66.66
1350_s,48.63
1348_s,50.27
1356_s,61.07
1351_s,100
1354_s,100.01
1357_s,100.01
1383_s,100.01
1421_s,100
1369_s,100
1377_s,99.99
1380_s,100
1384_s,100
1385_s,100.01
1386_s,99.99
1387_s,100
1390_s,99.99
1392_s,100.01
1388_s,100
1393_s,100
1389_s,100
1391_s,99.99
1411_s,86.44
1418_s,94.99
141_s,99.99
142_s,99.99
1403_s,83.57
1405_s,83.07
1404_s,83.75
1406_s,100.02
1407_s,100.01
1408_s,20.68
1420_s,100
1423_s,100
1425_s,100
1422_s,99.99
1470_s,100
1424_s,100
1473_s,100
1426_s,100
1432_s,99.98
1437_s,100
143_s,13.77
1434_s,100.01
1439_s,100
1440_s,87.46
1445_s,100
1458_s,84.65
1487_s,80.13
1485_s,100
145_s,88.15
148_s,93.24
147_s,96.14
164_s,95.98
1471_s,100.01
1472_s,100.01
1474_s,100.01
1477_s,99.98
1478_s,100.01
1481_s,100
1480_s,99.99
1479_s,100.01
158_s,97.03
1482_s,99.98
1489_s,59.32
150_s,99.99
195_s,100
1492_s,100
155_s,100
1503_s,100
156_s,100
157_s,100
1590_s,99.99
1592_s,99.99
1596_s,100
163_s,100
70_s,99.99
467_s,100
166_s,99.96
176_s,99.9
171_s,100
20_s,99.99
17_s,99.99
474_s,100
482_s,96.97
177_s,0.27
181_s,79.48
180_s,51.08
183_s,100.01
191_s,99.99
185_s,100
186_s,100.01
187_s,100
