sections,DCI_as
10_s,84.32
2_s,81.26
998_s,17.2
1000_s,16.77
1010_s,18.68
1001_s,17.86
1002_s,83.89
1035_s,84.26
1039_s,83.95
1004_s,62.51
1003_s,60.62
995_s,63.59
1006_s,68.32
1019_s,68.96
1014_s,68.63
996_s,69.06
1011_s,21.35
1027_s,21.9
1016_s,70.64
1017_s,70.9
1018_s,70.91
1021_s,70.9
1020_s,23.55
1025_s,22.52
1044_s,24.13
1045_s,89.6
1049_s,89.84
1046_s,87.27
104_s,48.43
1043_s,49.42
1053_s,95.38
105_s,49.56
137_s,53.44
1054_s,95.37
1056_s,99.98
1108_s,100.01
1058_s,88.57
1060_s,99.97
1062_s,99.98
1070_s,100
1068_s,96.96
1065_s,90.33
1075_s,96.73
1109_s,100
1117_s,99.99
1076_s,92.1199999999999
1077_s,82.9
1078_s,78.06
1083_s,79.42
1079_s,78.2
1081_s,77.15
1090_s,74.53
1085_s,77.27
1104_s,77.51
1105_s,77.11
109_s,48.52
111_s,49.48
113_s,49.42
1092_s,73.48
1099_s,75.79
1097_s,71.42
1103_s,68.98
1102_s,78.37
110_s,49.49
1132_s,82.46
1139_s,81.76
1106_s,67.15
1138_s,68.62
1107_s,66.5
1141_s,66.55
1142_s,64.36
1150_s,65.02
1111_s,100.01
1115_s,99.98
1110_s,100
1126_s,100.01
1118_s,99.98
1120_s,83.47
1301_s,83.18
1128_s,99.99
1303_s,99.99
114_s,49.43
1133_s,86.79
1137_s,87.64
1136_s,88.08
1305_s,88.81
1310_s,89.19
1314_s,88.18
1140_s,83.45
1170_s,84.07
116_s,49.56
1156_s,84.02
1157_s,83.73
1145_s,63.84
1148_s,63.77
1144_s,63.29
1153_s,62.8
1154_s,62.87
1151_s,62.9
1241_s,62.92
1352_s,19.38
1158_s,84.88
1160_s,84.89
124_s,51.31
138_s,51.86
1161_s,86.49
1162_s,86.58
1333_s,87.12
1336_s,87.06
1168_s,86.55
1169_s,86.55
1167_s,86.53
1338_s,86.98
1172_s,86.57
1346_s,86.52
1174_s,0.19
1175_s,77.19
1176_s,77.2
1177_s,77.84
1215_s,79.7
1184_s,76.45
1187_s,76.56
1180_s,6.69
1181_s,13.25
1218_s,18.87
1219_s,17.34
1191_s,75.66
1196_s,75.92
1194_s,76.25
1197_s,7.47
1198_s,7.48
1201_s,7.7
1242_s,7.85
1202_s,8.06
1243_s,8.23
1211_s,8.32
1244_s,8.25
1209_s,0.45
1216_s,79.73
1266_s,81.81
1248_s,22.19
1276_s,23.09
1223_s,98.84
1221_s,85.51
1225_s,100.01
1573_s,100.01
1557_s,100
126_s,53.15
140_s,53.05
1245_s,62.34
1247_s,61.88
1246_s,59.92
1256_s,59.7
1259_s,58.64
1257_s,59.47
1249_s,22.42
1273_s,22.71
1252_s,23.28
1253_s,3.7
1258_s,59.79
1263_s,59.68
1260_s,57.65
1400_s,56.87
1397_s,23.13
1265_s,1.29
1269_s,1.34
1270_s,1.36
1267_s,86.52
1268_s,86.75
1271_s,86.54
1281_s,86.8
1278_s,27.74
1283_s,56.47
1284_s,0.91
130_s,87.35
149_s,85.52
1358_s,85.65
1307_s,89.48
1318_s,91.23
1321_s,91.28
1312_s,88.95
1317_s,89.94
1325_s,91.47
132_s,100.02
133_s,97.88
1322_s,96.24
1363_s,95.47
1328_s,100.02
1331_s,100.01
99_s,97.53
1367_s,99.98
1368_s,99.98
1341_s,7.28
1339_s,86.32
1340_s,86.27
1343_s,7.55
1372_s,8.93
1345_s,8.03
1347_s,8.43
1350_s,2.57
1348_s,2.59
1356_s,2.82
1351_s,25.91
1354_s,26.03
1357_s,28.78
1383_s,34.35
1421_s,32.52
1369_s,50.95
1377_s,42.74
1380_s,43.27
