sections,DCI_as
1_s,75.72
100_s,93.18
101_s,93.41
103_s,94.27
107_s,94.68
110_s,95.42
111_s,95.3100000000001
104_s,96.07
105_s,95.8
108_s,95.9
109_s,96.24
113_s,72.82
114_s,73.01
128_s,73.65
115_s,73.2
161_s,73.63
116_s,73.18
118_s,73.43
164_s,74.45
15_s,80.51
14_s,81.71
12_s,81.51
120_s,74.56
125_s,75.13
131_s,75.6500000000001
172_s,76.2100000000001
130_s,74.4300000000001
162_s,75.18
133_s,65.7799999999999
138_s,64.31
65_s,65.12
135_s,66.58
62_s,66.45
136_s,69.46
141_s,69.71
142_s,70.03
66_s,61.4
139_s,66.77
23_s,83.51
149_s,70.5500000000001
151_s,70.5900000000001
145_s,70.93
146_s,71.27
147_s,71.29
148_s,71.29
155_s,4.58
233_s,71.5
18_s,78.89
17_s,80.33
152_s,71.01
153_s,71.2
154_s,71.28
160_s,71.43
157_s,4.68
158_s,4.78
236_s,4.79
159_s,4.8
254_s,4.97
237_s,71.83
163_s,76.1400000000001
168_s,77
173_s,76.69
166_s,75.8400000000001
167_s,76.3600000000001
258_s,76.2500000000001
259_s,77.42
170_s,78.1500000000001
263_s,78.2000000000001
171_s,0.02
392_s,79.08
174_s,56.9
175_s,31.43
195_s,32.41
176_s,6.87
178_s,6.98
177_s,6.55
242_s,6.9
196_s,7.23
19_s,78.02
183_s,34.63
184_s,33.77
194_s,34.33
203_s,34.54
4_s,77.7100000000001
193_s,34.42
198_s,33.71
197_s,7.37
201_s,7.44
280_s,7.52
200_s,34.23
207_s,35.95
2_s,75.28
20_s,77.61
21_s,78.14
205_s,7.68
202_s,3.45
318_s,3.89
319_s,3.91
204_s,3.25
206_s,7.94
216_s,7.96
209_s,38.18
210_s,38.22
211_s,38.47
22_s,78.35
213_s,0.18
221_s,39.83
229_s,38.86
214_s,0.18
215_s,2.89
231_s,2.98
339_s,3
217_s,8.18
218_s,8.18
36_s,78.4799999999999
220_s,41.25
224_s,41.93
226_s,42.16
223_s,41.16
337_s,41.86
225_s,42.95
227_s,43.24
330_s,44.02
228_s,43.7
