sections,DCI_as
1_s,100.01
101_s,100.01
100_s,99.99
103_s,100
107_s,100.02
110_s,99.99
111_s,100
104_s,100
105_s,99.99
108_s,100
109_s,100
114_s,100.02
113_s,100.01
128_s,100.01
115_s,100
161_s,100
116_s,100.01
118_s,100
164_s,100.02
14_s,100
15_s,100
12_s,100
120_s,100.01
125_s,99.99
131_s,100
172_s,100
130_s,100
162_s,100.01
133_s,100.01
138_s,99.99
65_s,100
135_s,99.99
62_s,100.01
141_s,100.01
142_s,100.01
136_s,100.01
66_s,92.94
139_s,100
23_s,100
149_s,98.25
151_s,99.99
145_s,59.6
146_s,52.31
147_s,51.16
148_s,51.55
155_s,54.77
233_s,54.5
17_s,100
18_s,99.99
152_s,100
153_s,100
154_s,100
160_s,100.01
157_s,65.88
158_s,69.74
236_s,72.88
159_s,73.57
254_s,76.78
237_s,99.99
163_s,99.99
168_s,99.74
173_s,99.99
166_s,99.98
167_s,99.99
258_s,100.01
259_s,100
170_s,99.35
263_s,99.68
171_s,0.82
392_s,100
174_s,51.34
175_s,65.71
195_s,72.43
176_s,99.99
178_s,100
177_s,91.15
242_s,99.99
196_s,99.99
19_s,99.99
183_s,100.01
184_s,66.28
194_s,75.22
203_s,69.32
4_s,100
193_s,100.01
198_s,79.62
197_s,100.01
201_s,99.99
280_s,99.98
200_s,75.77
207_s,58.58
2_s,99.99
20_s,100
21_s,100
205_s,100
202_s,62.95
318_s,100
319_s,100
204_s,43.96
206_s,100.01
216_s,100
209_s,55.87
210_s,54.21
211_s,64.65
22_s,99.99
213_s,3.36
221_s,76.65
229_s,66.56
214_s,3.46
215_s,48.21
231_s,53.4
339_s,53.4
217_s,100
218_s,100
36_s,99.99
220_s,99.99
224_s,100
226_s,99.98
223_s,100
337_s,100
225_s,100.01
227_s,99.99
330_s,95.58
228_s,100
333_s,100
338_s,100.02
230_s,4.06
24_s,99.99
232_s,43.08
234_s,87.26
244_s,100
235_s,100
248_s,99.99
239_s,81.83
241_s,100
262_s,99.99
240_s,100.01
25_s,99.98
243_s,99.99
245_s,100
246_s,100.01
247_s,100
281_s,99.99
251_s,100
249_s,100
250_s,100
26_s,100.01
252_s,99.99
255_s,99.99
253_s,100
282_s,99.99
261_s,100
266_s,100
268_s,99.99
27_s,100
270_s,99.99
264_s,100
265_s,99.98
394_s,100
267_s,100
273_s,98.32
301_s,100
28_s,99.99
271_s,100
272_s,100
292_s,99.98
294_s,99.98
274_s,94.97
275_s,94.59
276_s,94.06
278_s,93.66
277_s,0.03
279_s,8.6
37_s,100
285_s,100
288_s,100.01
283_s,99.98
289_s,100
284_s,100
291_s,100
286_s,100
287_s,100.01
375_s,99.99
373_s,100
374_s,100
290_s,100
376_s,100
34_s,100.01
31_s,100
29_s,100.01
381_s,100
297_s,100
298_s,100
295_s,100
300_s,100
296_s,100.01
313_s,99.99
310_s,100.01
314_s,100
3_s,100
304_s,76.11
305_s,72.9
302_s,75.6
306_s,87.62
412_s,2.85
316_s,88.73
317_s,88.43
33_s,99.99
35_s,99.99
311_s,99.99
312_s,100.01
315_s,100
320_s,18.82
321_s,84.92
322_s,84.79
324_s,100
323_s,100
325_s,100.01
326_s,85.68
327_s,89.45
329_s,90.62
331_s,91.08
342_s,93.61
334_s,91.17
335_s,100
343_s,92.35
336_s,100
344_s,99.99
340_s,100
341_s,100
345_s,100
379_s,100
355_s,100
348_s,100
365_s,100
346_s,100.01
347_s,100
369_s,100
349_s,100.01
350_s,100
71_s,100
351_s,100
352_s,99.99
357_s,100
354_s,100
367_s,100
359_s,99.99
360_s,100
364_s,100
362_s,100
363_s,100
371_s,100
366_s,100
368_s,100
370_s,99.99
38_s,100.01
372_s,100.01
377_s,100
378_s,100.01
383_s,100
40_s,100
52_s,100
380_s,100
382_s,100
384_s,100
385_s,100
386_s,99.99
387_s,100
388_s,100.01
389_s,100
390_s,99.99
393_s,100
397_s,100
400_s,81.96
395_s,99.99
398_s,100
399_s,100
411_s,100
6_s,99.99
41_s,99.99
42_s,100.01
402_s,69.53
403_s,65.9
406_s,61.27
407_s,0.08
408_s,40.3
413_s,44.9
415_s,52.82
45_s,100
414_s,20.03
416_s,86.48
417_s,94
43_s,100.02
44_s,100.01
48_s,100
46_s,100.02
47_s,99.99
49_s,100.01
58_s,99.99
50_s,100.01
55_s,100
51_s,100
56_s,100
99_s,100
70_s,99.99
59_s,100
60_s,100.01
61_s,100.01
7_s,100
64_s,100.01
63_s,99.99
67_s,75.01
68_s,99.99
73_s,99.99
78_s,100
8_s,99.99
72_s,100.01
74_s,100.01
86_s,99.99
88_s,100
85_s,99.99
79_s,99.99
82_s,100.01
80_s,100.01
9_s,100
84_s,100.02
81_s,100
87_s,100
89_s,100.01
93_s,100.03
90_s,100.01
92_s,100
96_s,100.01
94_s,99.99
98_s,100
97_s,100.01
