sections,DCI_as
1_s,93.91
98_s,100
101_s,99.98
1019_s,73
1018_s,35.4
1020_s,75.95
1087_s,78.27
1026_s,84.1
1027_s,90.48
1480_s,92.67
1028_s,99.43
1033_s,100.01
1035_s,100.01
1029_s,97.66
103_s,100
1031_s,99.98
1032_s,100.02
1034_s,99.99
982_s,99.99
1036_s,99.99
1043_s,100
1041_s,100
1049_s,99.98
1052_s,99.98
1044_s,100.01
1047_s,100
1073_s,100
1079_s,99.98
1096_s,100.01
1053_s,100.01
1054_s,100.02
1056_s,100.01
1055_s,100
1057_s,100.02
1058_s,99.98
1059_s,99.99
1060_s,100
106_s,100.01
114_s,100.02
115_s,99.98
1062_s,100
1066_s,100.01
1067_s,99.99
1070_s,100
1069_s,100
1100_s,100
107_s,100.01
37_s,100
42_s,100
1072_s,100.01
1078_s,92.87
1076_s,98.33
1085_s,57.08
1083_s,92.04
1095_s,99.99
108_s,100.01
1089_s,81.52
1090_s,85.05
109_s,99.99
112_s,100
1487_s,95.42
1091_s,99.98
1561_s,100
1564_s,99.99
1566_s,100.01
1097_s,100
1571_s,100.01
11_s,100.01
16_s,100
1107_s,99.99
1110_s,100
1104_s,100
1585_s,93.85
1116_s,99.99
1119_s,100.01
1113_s,99.99
1114_s,100
941_s,100
1122_s,99.99
212_s,100.02
1138_s,100
1142_s,99.99
1125_s,100.02
1123_s,100
1132_s,100
1152_s,100.02
113_s,100
1170_s,100
1176_s,100
950_s,99.98
1148_s,100.02
1135_s,99.99
1141_s,100
1143_s,100
1220_s,100
116_s,99.99
1150_s,99.98
1157_s,99.99
1156_s,100
1161_s,100.01
1165_s,100.01
122_s,99.39
1162_s,100.01
1234_s,99.98
1249_s,100.01
1253_s,100.02
1166_s,100
1210_s,100
1167_s,100
117_s,100.01
118_s,100
1171_s,100
1201_s,100
1172_s,100
1175_s,100
1173_s,99.99
1174_s,99.99
1178_s,99.99
1179_s,100
137_s,100
1180_s,99.98
1181_s,99.99
1185_s,68.43
1183_s,64.18
1190_s,81.01
1194_s,76.32
1188_s,99.37
1191_s,99.75
1193_s,99.98
1197_s,96.57
1198_s,99.98
1199_s,100.01
9_s,100
12_s,100
1200_s,100.01
1202_s,100
1254_s,99.99
1263_s,100
1203_s,99.99
1205_s,100.01
1207_s,99.98
1211_s,99.99
1353_s,99.99
1343_s,99.98
1212_s,96.74
1216_s,95.59
1213_s,92.96
1214_s,70.66
1215_s,27.11
1218_s,22.87
213_s,84.97
1222_s,100
1224_s,99.99
1235_s,99.99
1223_s,100
1230_s,99.99
1242_s,100
1229_s,100
1240_s,100
124_s,99.99
126_s,100.01
79_s,100
1247_s,100
1290_s,100
1294_s,99.88
1250_s,99.99
1269_s,99.99
1321_s,99.99
127_s,100.01
1261_s,99.96
1271_s,100.01
1266_s,98.88
1274_s,96.75
130_s,99.98
1270_s,99.59
1275_s,92.47
1279_s,96.44
1276_s,92.48
1277_s,90.71
1278_s,90.45
1286_s,63.92
1280_s,100.01
1281_s,100
1284_s,100
1411_s,99.98
1287_s,65.79
1323_s,81.51
1327_s,73.77
1289_s,100.01
1292_s,97.85
1296_s,98.25
1309_s,70.3
1325_s,99.86
1298_s,100.01
1299_s,99.99
1300_s,100
1301_s,100.01
1683_s,99.97
13_s,100
18_s,99.99
131_s,100.01
1313_s,100
1318_s,100.01
1307_s,64.85
1310_s,71.98
135_s,99.99
1311_s,78.54
1320_s,76.36
1333_s,85.56
1317_s,100.03
1319_s,99.32
1693_s,100.01
1684_s,95.96
1326_s,92.05
1328_s,93.29
1329_s,96.59
1331_s,98.12
1336_s,81.14
1339_s,97.41
1334_s,100
1691_s,92.14
1726_s,92.14
1728_s,100
1729_s,100
1338_s,55.61
1731_s,46.27
1727_s,100
139_s,99.99
140_s,99.99
134_s,99.98
1340_s,99.99
1341_s,100.01
1358_s,100
1345_s,93.75
1347_s,99.33
1349_s,99.4
1363_s,100
1365_s,100.01
1356_s,99.99
1354_s,100
1360_s,100
1367_s,99.99
1362_s,99.99
1408_s,99.98
1400_s,100
1370_s,99.99
1366_s,100.01
1371_s,100
1369_s,100.01
1401_s,100
1404_s,99.99
231_s,100
1372_s,100
1373_s,99.99
1374_s,91.08
1375_s,88.55
1383_s,91.11
1377_s,84.23
1376_s,86.45
1379_s,87.33
1380_s,91.28
1387_s,93.37
1385_s,92.54
1390_s,94.06
1388_s,99.39
1394_s,99.57
1391_s,81.95
1392_s,99.98
1397_s,99.99
236_s,100
1412_s,100.01
141_s,31.23
1732_s,100
1414_s,99.97
1851_s,100
1417_s,90.82
1416_s,85.83
1854_s,59.76
1418_s,99.99
1419_s,94.7
1422_s,100.01
1426_s,100.01
1428_s,100.01
1429_s,99.99
1436_s,99.07
1873_s,100
144_s,100.01
158_s,100
8_s,100.03
1441_s,84.86
1867_s,77.11
1442_s,86.15
1443_s,99.99
1448_s,98.9
1444_s,99.98
1445_s,100.02
1453_s,100.02
1451_s,91.49
145_s,100.02
148_s,100
149_s,99.98
1871_s,73.56
1458_s,100
1506_s,76.21
1460_s,100
1459_s,100.01
1464_s,100.02
1511_s,100
1466_s,99.99
1468_s,100
1470_s,100
1476_s,100
1491_s,100.01
1474_s,81.65
1479_s,99.99
1483_s,100.01
1482_s,100.01
1497_s,100
1485_s,100
1608_s,98.5
153_s,100.01
161_s,100
1494_s,99.99
1496_s,100.01
1495_s,100.02
1503_s,99.99
1505_s,91.22
1510_s,47.34
1512_s,86.56
1516_s,87.16
1554_s,89.89
1518_s,81.96
1521_s,56.06
1524_s,54.04
1526_s,52.57
1530_s,57.72
1528_s,51.53
1551_s,71.97
1535_s,9.25
1538_s,8.66
182_s,100.01
154_s,100.01
156_s,100
1540_s,60.82
1541_s,74.26
1546_s,93.21
1550_s,92.85
1553_s,93.52
1555_s,97
1556_s,100
1559_s,79.04
1560_s,74.52
1621_s,72.45
1562_s,100
1618_s,99.99
1575_s,100
1576_s,99.99
1578_s,99.99
1579_s,34.69
159_s,95.45
1586_s,89.53
1589_s,85.66
1587_s,63.27
1590_s,76.48
1595_s,84.56
185_s,72.84
187_s,92.2
1592_s,65.52
1594_s,53.2
1596_s,54.45
1597_s,68.37
1600_s,70.1
1598_s,71.32
1599_s,72.06
1601_s,65.77
1607_s,83.23
1639_s,32.19
1605_s,100
1606_s,100
1646_s,99.21
1674_s,98.87
1610_s,95.06
178_s,100
1619_s,89.1
1615_s,96.15
1617_s,100.01
1635_s,100.01
1629_s,30.99
1636_s,99.99
1668_s,100.01
1638_s,54.52
1640_s,54.2
1641_s,49.49
1670_s,72.63
1649_s,100
1652_s,100.01
165_s,100.01
1653_s,100.01
1656_s,100.01
1746_s,100
1661_s,100.01
166_s,100.01
1663_s,100
1682_s,100
1667_s,100.01
1677_s,100
167_s,41.38
1673_s,99.99
1675_s,100.01
1678_s,100.01
1680_s,100
1681_s,100.01
1679_s,100
1701_s,99.99
1687_s,94
1692_s,93.66
1696_s,88.05
1697_s,84.35
1698_s,81.53
1739_s,83.87
1699_s,71.78
1707_s,80.22
1700_s,0.29
1713_s,58.15
170_s,79.12
1703_s,100.01
1706_s,100.01
1705_s,100
1711_s,100.01
1712_s,100
1740_s,99.99
1714_s,90.52
1715_s,91.57
1741_s,98.59
1717_s,97.52
1720_s,97.67
1718_s,98.65
1723_s,98.87
1743_s,99.62
1768_s,100.01
1730_s,100
1733_s,63.48
174_s,67.41
1745_s,100
1772_s,100
1747_s,100
1748_s,100.01
1749_s,99.99
1913_s,99.98
1754_s,100.01
1755_s,100
1917_s,99.99
1921_s,100.01
1757_s,100.01
1758_s,100.02
1760_s,99.98
1764_s,99.98
1765_s,100.01
1824_s,100
1809_s,100.02
1770_s,100
1771_s,100
1777_s,100
1808_s,100
1790_s,99.99
1780_s,100
1781_s,99.98
1782_s,100.01
1788_s,99.99
1789_s,99.99
1794_s,100
1797_s,99.99
1795_s,99.99
1803_s,100.02
1804_s,100
1807_s,100
1805_s,97.65
1806_s,99.99
1813_s,100
1816_s,99.99
1840_s,100
1817_s,100
1819_s,99.99
1821_s,99.98
1822_s,99.99
1829_s,100
1826_s,100.01
1833_s,99.98
1848_s,100.01
1847_s,99.99
1849_s,99.99
285_s,61.99
1861_s,71.31
1855_s,67.26
1857_s,86.48
1865_s,62.35
1862_s,53.51
1864_s,56.34
1883_s,73.83
1904_s,58.4
1866_s,51.93
1911_s,54.02
1868_s,62.68
1875_s,16.39
1877_s,54.93
1874_s,100
1912_s,49.77
1879_s,83.79
1909_s,87.66
1891_s,97.65
1886_s,100
1893_s,99.99
1894_s,100
1896_s,100
19_s,100
286_s,100
193_s,99.99
191_s,99.99
1910_s,46.75
1919_s,100.01
1920_s,100
1922_s,99.99
1923_s,87.94
1924_s,8.9
1926_s,15.92
1928_s,100.01
1931_s,2.1
1932_s,88.44
1934_s,90.79
1939_s,41.48
1941_s,41.39
1942_s,3.3
1943_s,40.86
1944_s,64.45
1947_s,25.12
1949_s,97.41
1951_s,98.13
1954_s,91.82
1956_s,80.59
1966_s,72.29
1957_s,74.72
1971_s,37.59
1958_s,86.36
1983_s,84.72
1963_s,97.2
1959_s,96.48
