sections,DCI_as
2_s,99.98
10_s,99.99
998_s,79.49
1010_s,81.16
1000_s,53.52
1001_s,94.92
1035_s,100.01
1039_s,100
1002_s,99.99
1004_s,99.99
1003_s,99.99
995_s,100
1006_s,99.98
1019_s,100.01
1014_s,100.01
996_s,100.02
1011_s,99.99
1027_s,100
1016_s,100
1017_s,100.01
1018_s,100
1021_s,100
1020_s,100
1025_s,100.01
1044_s,100
1045_s,100
1049_s,99.99
1046_s,100
104_s,74.05
1043_s,100.01
1053_s,100
105_s,84.22
137_s,80.93
1054_s,99.99
1108_s,100
1056_s,99.99
1058_s,99.99
1060_s,100
1062_s,100
1070_s,100
1068_s,99.99
1065_s,99.99
1075_s,100
1109_s,100
1117_s,99.99
1076_s,100.01
1077_s,100.01
1078_s,100
1083_s,99.98
1079_s,99.99
1081_s,100
1090_s,100
1104_s,99.99
1105_s,100.01
1085_s,99.98
109_s,80.27
111_s,83.91
113_s,86.25
1092_s,100
1099_s,100
1097_s,99.99
1103_s,100.01
1102_s,99.99
110_s,84.15
1132_s,100
1139_s,100.01
1106_s,87.98
1138_s,100.01
1107_s,88.38
1141_s,85.94
1142_s,87.42
1150_s,82.83
1111_s,100
1115_s,100
1110_s,100.02
1126_s,99.99
1118_s,100.01
1120_s,99.98
1301_s,100.01
1128_s,100
1303_s,100
114_s,86.53
1133_s,100
1137_s,100
1136_s,100
1305_s,99.99
1310_s,100.01
1314_s,100.01
1140_s,99.99
1170_s,100
116_s,86.87
1156_s,99.99
1157_s,99.6
1145_s,84.7
1148_s,85.61
1144_s,82.92
1153_s,83.34
1154_s,80.1
1151_s,82.83
1241_s,83.73
1352_s,53.24
1158_s,99.58
1160_s,85.66
124_s,87.37
138_s,85.11
1161_s,78.62
1162_s,79.42
1333_s,81.11
1336_s,69.62
1168_s,80.52
1169_s,81.48
1167_s,80.86
1338_s,82.38
1172_s,85.38
1346_s,83.34
1174_s,1.49
1176_s,94.09
1175_s,100.01
1177_s,84.04
1215_s,92.95
1184_s,83.04
1187_s,76.62
1180_s,61.79
1218_s,74.82
1219_s,80.74
1181_s,69.37
1191_s,67.8
1196_s,65.98
1194_s,68.76
1197_s,36.33
1198_s,36.46
1201_s,38.55
1242_s,41.15
1202_s,51.42
1243_s,55.95
1211_s,58.12
1244_s,56.24
1209_s,3.75
1216_s,100
1266_s,100.01
1248_s,85.23
1276_s,84.71
1223_s,100.01
1221_s,100
1225_s,100
1573_s,100
1557_s,100
126_s,100.01
140_s,100
1245_s,83.18
1247_s,81.79
1246_s,81.38
1256_s,78.77
1259_s,75.35
1257_s,87.35
1249_s,81.3
1273_s,81.04
1252_s,80.48
1253_s,21.92
1258_s,82.76
1263_s,82.54
1260_s,68.38
1400_s,70.47
1397_s,54.92
1265_s,17.61
1269_s,19.2
1270_s,20.16
1267_s,99.99
1268_s,100
1271_s,100.01
1281_s,100.01
1278_s,83.09
1283_s,78.17
1284_s,14.12
130_s,100
149_s,100
1358_s,100.01
1307_s,99.98
1318_s,100.01
1321_s,100.01
1312_s,99.99
1317_s,100
1325_s,99.99
133_s,99.99
132_s,100.01
1322_s,100.02
1363_s,100
1328_s,100.01
1331_s,100
99_s,100
1367_s,100
1368_s,100
1341_s,37.02
1339_s,99.17
1340_s,99.22
1343_s,39.31
1372_s,45.25
1345_s,45.11
1347_s,46.17
1350_s,22.34
1348_s,22.77
1356_s,27.33
1351_s,100
1354_s,100.01
1357_s,100.01
1383_s,100.03
1421_s,100.01
1369_s,100
1377_s,99.99
1380_s,100.01
1384_s,99.99
1385_s,99.98
1386_s,100.01
1387_s,100
1390_s,100
1392_s,100
1388_s,99.99
1393_s,100.01
1389_s,100
1391_s,100.01
1411_s,77.02
1418_s,84.35
141_s,100.01
142_s,99.99
1403_s,74.71
1405_s,79.08
1404_s,74.82
1406_s,83.22
1407_s,83.62
1408_s,6.4
1420_s,96.2
