"Seg_ID","Seg"
"657_s","657_s"
"657_s","536_s"
"657_s","658_s"
"290_s","290_s"
"290_s","289_s"
"290_s","444_s"
"450_s","450_s"
"450_s","448_s"
"450_s","463_s"
"454_s","454_s"
"454_s","448_s"
"454_s","456_s"
"454_s","459_s"
"394_s","394_s"
"394_s","361_s"
"406_s","406_s"
"406_s","489_s"
"406_s","405_s"
"502_s","502_s"
"502_s","501_s"
"502_s","508_s"
"510_s","510_s"
"510_s","484_s"
"510_s","511_s"
"561_s","561_s"
"561_s","383_s"
"567_s","567_s"
"567_s","565_s"
"398_s","398_s"
"398_s","389_s"
"606_s","606_s"
"606_s","622_s"
"606_s","633_s"
"611_s","611_s"
"611_s","622_s"
"611_s","612_s"
"619_s","619_s"
"619_s","622_s"
"627_s","627_s"
"627_s","626_s"
"653_s","653_s"
"653_s","652_s"
"653_s","660_s"
"658_s","658_s"
"658_s","657_s"
"444_s","444_s"
"444_s","290_s"
"463_s","463_s"
"463_s","450_s"
"463_s","464_s"
"456_s","456_s"
"456_s","454_s"
"459_s","459_s"
"459_s","454_s"
"459_s","539_s"
"459_s","549_s"
"459_s","757_s"
"459_s","760_s"
"405_s","405_s"
"405_s","406_s"
"508_s","508_s"
"508_s","502_s"
"511_s","511_s"
"511_s","510_s"
"633_s","633_s"
"633_s","606_s"
"633_s","575_s"
"633_s","579_s"
"633_s","587_s"
"633_s","637_s"
"633_s","676_s"
"612_s","612_s"
"612_s","611_s"
"660_s","660_s"
"660_s","653_s"
"660_s","661_s"
"464_s","464_s"
"464_s","463_s"
"464_s","731_s"
"539_s","539_s"
"539_s","459_s"
"539_s","530_s"
"539_s","544_s"
"549_s","549_s"
"549_s","459_s"
"549_s","557_s"
"757_s","757_s"
"757_s","459_s"
"757_s","769_s"
"757_s","783_s"
"757_s","786_s"
"760_s","760_s"
"760_s","459_s"
"760_s","764_s"
"575_s","575_s"
"575_s","633_s"
"575_s","574_s"
"579_s","579_s"
"579_s","633_s"
"579_s","578_s"
"587_s","587_s"
"587_s","633_s"
"587_s","586_s"
"637_s","637_s"
"637_s","633_s"
"637_s","639_s"
"676_s","676_s"
"676_s","633_s"
"661_s","661_s"
"661_s","660_s"
"661_s","663_s"
"731_s","731_s"
"731_s","464_s"
"530_s","530_s"
"530_s","539_s"
"530_s","531_s"
