"Seg_ID","Seg"
"945_s","945_s"
"945_s","1177_s"
"945_s","951_s"
"945_s","953_s"
"1103_s","1103_s"
"1103_s","1177_s"
"1107_s","1107_s"
"1107_s","1177_s"
"1141_s","1141_s"
"1141_s","1177_s"
"1148_s","1148_s"
"1148_s","1177_s"
"1754_s","1754_s"
"1754_s","1177_s"
"1783_s","1783_s"
"1783_s","1177_s"
"1783_s","959_s"
"1784_s","1784_s"
"1784_s","1177_s"
"1785_s","1785_s"
"1785_s","1177_s"
"1785_s","1794_s"
"1786_s","1786_s"
"1786_s","1177_s"
"1580_s","1580_s"
"1580_s","1579_s"
"1516_s","1516_s"
"1516_s","1517_s"
"1522_s","1522_s"
"1522_s","1517_s"
"22_s","22_s"
"22_s","92_s"
"44_s","44_s"
"44_s","92_s"
"73_s","73_s"
"73_s","92_s"
"76_s","76_s"
"76_s","92_s"
"76_s","27_s"
"79_s","79_s"
"79_s","92_s"
"89_s","89_s"
"89_s","92_s"
"161_s","161_s"
"161_s","122_s"
"507_s","507_s"
"507_s","500_s"
"649_s","649_s"
"649_s","638_s"
"649_s","428_s"
"652_s","652_s"
"652_s","638_s"
"700_s","700_s"
"700_s","707_s"
"789_s","789_s"
"789_s","787_s"
"771_s","771_s"
"771_s","875_s"
"771_s","756_s"
"883_s","883_s"
"883_s","875_s"
"899_s","899_s"
"899_s","875_s"
"904_s","904_s"
"904_s","875_s"
"908_s","908_s"
"908_s","875_s"
"908_s","932_s"
"969_s","969_s"
"969_s","875_s"
"982_s","982_s"
"982_s","875_s"
"994_s","994_s"
"994_s","875_s"
"996_s","996_s"
"996_s","875_s"
"1039_s","1039_s"
"1039_s","875_s"
"1040_s","1040_s"
"1040_s","875_s"
"1043_s","1043_s"
"1043_s","875_s"
"1052_s","1052_s"
"1052_s","875_s"
"1052_s","1053_s"
"1894_s","1894_s"
"1894_s","875_s"
"2261_s","2261_s"
"2261_s","875_s"
"2301_s","2301_s"
"2301_s","875_s"
"2301_s","2309_s"
"2301_s","2429_s"
"2301_s","2468_s"
"2301_s","2476_s"
"2348_s","2348_s"
"2348_s","875_s"
"2361_s","2361_s"
"2361_s","875_s"
"2361_s","2411_s"
"2409_s","2409_s"
"2409_s","875_s"
"2457_s","2457_s"
"2457_s","875_s"
"2457_s","2458_s"
"2491_s","2491_s"
"2491_s","875_s"
"2499_s","2499_s"
"2499_s","875_s"
"2499_s","2497_s"
"2519_s","2519_s"
"2519_s","875_s"
"2552_s","2552_s"
"2552_s","875_s"
"2552_s","2551_s"
"2557_s","2557_s"
"2557_s","875_s"
"2594_s","2594_s"
"2594_s","875_s"
"2684_s","2684_s"
"2684_s","875_s"
"2688_s","2688_s"
"2688_s","875_s"
"2688_s","2690_s"
"2688_s","2693_s"
"2725_s","2725_s"
"2725_s","875_s"
"2725_s","2726_s"
"2728_s","2728_s"
"2728_s","875_s"
"2728_s","2706_s"
"2728_s","2713_s"
"2728_s","2763_s"
"2736_s","2736_s"
"2736_s","875_s"
"2736_s","2737_s"
"2783_s","2783_s"
"2783_s","875_s"
"2857_s","2857_s"
"2857_s","875_s"
"2859_s","2859_s"
"2859_s","875_s"
"2859_s","2847_s"
"2926_s","2926_s"
"2926_s","875_s"
"2929_s","2929_s"
"2929_s","875_s"
"2929_s","2836_s"
"2929_s","2916_s"
"2929_s","2917_s"
"2929_s","2939_s"
"2950_s","2950_s"
"2950_s","875_s"
"2950_s","2948_s"
"2980_s","2980_s"
"2980_s","875_s"
"2988_s","2988_s"
"2988_s","875_s"
"2988_s","3018_s"
"2988_s","3032_s"
"3070_s","3070_s"
"3070_s","875_s"
"3075_s","3075_s"
"3075_s","875_s"
"3076_s","3076_s"
"3076_s","875_s"
"3131_s","3131_s"
"3131_s","875_s"
"3131_s","3210_s"
"3131_s","3222_s"
"3131_s","3321_s"
"3131_s","3424_s"
"3131_s","3479_s"
"3131_s","3487_s"
"3131_s","3489_s"
"3139_s","3139_s"
"3139_s","875_s"
"3139_s","3142_s"
"3267_s","3267_s"
"3267_s","875_s"
"3267_s","3265_s"
"3280_s","3280_s"
"3280_s","875_s"
"3296_s","3296_s"
"3296_s","875_s"
"928_s","928_s"
"928_s","917_s"
"951_s","951_s"
"951_s","945_s"
"951_s","935_s"
"953_s","953_s"
"953_s","945_s"
"959_s","959_s"
"959_s","1783_s"
"959_s","1054_s"
"1794_s","1794_s"
"1794_s","1785_s"
"27_s","27_s"
"27_s","76_s"
"428_s","428_s"
"428_s","649_s"
"756_s","756_s"
"756_s","771_s"
"932_s","932_s"
"932_s","908_s"
"1053_s","1053_s"
"1053_s","1052_s"
"2309_s","2309_s"
"2309_s","2301_s"
"2429_s","2429_s"
"2429_s","2301_s"
"2468_s","2468_s"
"2468_s","2301_s"
"2476_s","2476_s"
"2476_s","2301_s"
"2411_s","2411_s"
"2411_s","2361_s"
"2458_s","2458_s"
"2458_s","2457_s"
"2497_s","2497_s"
"2497_s","2499_s"
"2497_s","2487_s"
"2551_s","2551_s"
"2551_s","2552_s"
"2690_s","2690_s"
"2690_s","2688_s"
"2693_s","2693_s"
"2693_s","2688_s"
"2693_s","2692_s"
"2726_s","2726_s"
"2726_s","2725_s"
"2726_s","2767_s"
"2706_s","2706_s"
"2706_s","2728_s"
"2713_s","2713_s"
"2713_s","2728_s"
"2763_s","2763_s"
"2763_s","2728_s"
"2737_s","2737_s"
"2737_s","2736_s"
"2847_s","2847_s"
"2847_s","2859_s"
"2836_s","2836_s"
"2836_s","2929_s"
"2916_s","2916_s"
"2916_s","2929_s"
"2917_s","2917_s"
"2917_s","2929_s"
"2939_s","2939_s"
"2939_s","2929_s"
"2948_s","2948_s"
"2948_s","2950_s"
"3018_s","3018_s"
"3018_s","2988_s"
"3032_s","3032_s"
"3032_s","2988_s"
"3210_s","3210_s"
"3210_s","3131_s"
"3222_s","3222_s"
"3222_s","3131_s"
"3321_s","3321_s"
"3321_s","3131_s"
"3424_s","3424_s"
"3424_s","3131_s"
"3479_s","3479_s"
"3479_s","3131_s"
"3487_s","3487_s"
"3487_s","3131_s"
"3489_s","3489_s"
"3489_s","3131_s"
"3142_s","3142_s"
"3142_s","3139_s"
"3265_s","3265_s"
"3265_s","3267_s"
"935_s","935_s"
"935_s","951_s"
"1054_s","1054_s"
"1054_s","959_s"
"2487_s","2487_s"
"2487_s","2497_s"
"2487_s","2486_s"
"2692_s","2692_s"
"2692_s","2693_s"
"2767_s","2767_s"
"2767_s","2726_s"
"2767_s","2771_s"
"2767_s","2781_s"
"2767_s","2785_s"
"2486_s","2486_s"
"2486_s","2487_s"
"2771_s","2771_s"
"2771_s","2767_s"
"2781_s","2781_s"
"2781_s","2767_s"
"2781_s","2779_s"
"2785_s","2785_s"
"2785_s","2767_s"
"2779_s","2779_s"
"2779_s","2781_s"
"sink","sink"
"sink","1363_s"
"sink","1368_s"
"sink","1371_s"
"sink","1477_s"
"sink","1478_s"
"sink","1487_s"
"sink","1535_s"
"sink","1536_s"
