"start","end","path2","barrier_id","pathway_pass","start_section_length","finish_section_length"
"132_s","194_s","132_s,134_s,4_s,169_s,194_s","132,134,169,194",0,57.56,88.77
"132_s","sink","132_s,134_s,4_s,sink","132,134,4",0,57.56,586.73
"194_s","4_s","194_s,169_s,4_s","194,169",0,88.77,48203.8
"194_s","12_s","194_s,169_s,4_s,12_s","194,169,12",0,88.77,2235.09
"194_s","36_s","194_s,169_s,4_s,36_s","194,169,36",0,88.77,1165.53
"194_s","134_s","194_s,169_s,4_s,134_s","194,169,134",0,88.77,571.88
"194_s","137_s","194_s,169_s,4_s,137_s","194,169,137",0,88.77,710.89
"194_s","145_s","194_s,169_s,4_s,145_s","194,169,145",0,88.77,2136.85
"194_s","169_s","194_s,169_s","194",0,88.77,55424.98
"194_s","132_s","194_s,169_s,4_s,134_s,132_s","194,169,134,132",0,88.77,57.56
"194_s","194_s","194_s","NA",1,88.77,88.77
"194_s","sink","194_s,169_s,4_s,sink","194,169,4",0,88.77,586.73
"sink","4_s","sink,4_s","4",0,586.73,48203.8
"sink","12_s","sink,4_s,12_s","4,12",0,586.73,2235.09
"sink","36_s","sink,4_s,36_s","4,36",0,586.73,1165.53
"sink","134_s","sink,4_s,134_s","4,134",0,586.73,571.88
"sink","137_s","sink,4_s,137_s","4,137",0,586.73,710.89
"sink","145_s","sink,4_s,145_s","4,145",0,586.73,2136.85
"sink","169_s","sink,4_s,169_s","4,169",0,586.73,55424.98
"sink","132_s","sink,4_s,134_s,132_s","4,134,132",0,586.73,57.56
"sink","194_s","sink,4_s,169_s,194_s","4,169,194",0,586.73,88.77
"sink","sink","sink","NA",1,586.73,586.73
